CAS,Name,Formula,Mw,Elements,InChi,SMILES,alkane,methyl,alkene,alkyne,alcohols,amines,nitriles,aromatics,alkyl halides,esters,ketones,aldehydes,carboxylic acids,ether,acyl halides,amides,nitro
100-12-9,"Benzene, 1-ethyl-4-nitro-",C8H9NO2,151.0633285337264,"['C', 'H', 'N', 'O']","InChI=1/C8H9NO2/c1-2-7-3-5-8(6-4-7)9(10)11/h3-6H,2H2,1H3",CCc1ccc(cc1)[N+]([O-])=O,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100-14-1,4-Nitrobenzyl chloride,C7H6ClNO2,171.0087061193794,"['C', 'H', 'Cl', 'N', 'O']","InChI=1/C7H6ClNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2",[O-][N+](=O)c1ccc(CCl)cc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1001-45-2,6-Pentadecanone,C15H30O,226.2296655867417,"['C', 'H', 'O']","InChI=1/C15H30O/c1-3-5-7-8-9-10-12-14-15(16)13-11-6-4-2/h3-14H2,1-2H3",CCCCCCCCCC(=O)CCCCC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1001-53-2,N-Acetylethylenediamine,C4H10N2O,102.07931295082572,"['C', 'H', 'N', 'O']","InChI=1/C4H10N2O/c1-4(7)6-3-2-5/h2-3,5H2,1H3,(H,6,7)/f/h6H",CC(=O)NCCN,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100-16-3,P-nitrophenyl hydrazine,C6H7N3O2,153.0538264781124,"['C', 'H', 'N', 'O']","InChI=1/C6H7N3O2/c7-8-5-1-3-6(4-2-5)9(10)11/h1-4,8H,7H2",NNc1ccc(cc1)[N+]([O-])=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10017-11-5,"2-Propen-1-amine, hydrochloride",C3H8ClN,93.034526944714,"['C', 'H', 'Cl', 'N']","InChI=1/C3H7N.ClH/c1-2-3-4;/h2H,1,3-4H2;1H/fC3H7N.Cl.H/h;1h;/q;-1;+1",[H+].[Cl-].NCC=C,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017-37-5,Tert-butyl amine hydrochloride,C4H11N.ClH,109.06582707367,"['C', 'H', 'N', 'Cl', 'H']","InChI=1/C4H11N.ClH/c1-4(2,3)5;/h5H2,1-3H3;1H/fC4H11N.Cl.H/h;1h;/q;-1;+1",[H+].[Cl-].CC(C)(C)N,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-17-4,"Benzene, 1-methoxy-4-nitro-",C7H7NO3,153.0425930888201,"['C', 'H', 'N', 'O']","InChI=1/C7H7NO3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3",COc1ccc(cc1)[N+]([O-])=O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
100-18-5,"Benzene, 1,4-bis(1-methylethyl)-",C12H18,162.140850580302,"['C', 'H']","InChI=1/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3",CC(C)c1ccc(cc1)C(C)C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-19-6,"Acetophenone, 4'-nitro-",C8H7NO3,165.0425930888201,"['C', 'H', 'N', 'O']","InChI=1/C8H7NO3/c1-6(10)7-2-4-8(5-3-7)9(11)12/h2-5H,1H3",CC(=O)c1ccc(cc1)[N+]([O-])=O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10020-75-4,"2-Oxazolanone, 3-methyleneamino-",C4H6N2O2,114.0429274414414,"['C', 'H', 'N', 'O']",InChI=1/C4H6N2O2/c1-5-6-2-3-8-4(6)7/h1-3H2,C=NN1CCOC1=O,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100-20-9,"1,4-Benzenedicarbonyl dichloride",C8H4Cl2O2,201.9588347328394,"['C', 'H', 'Cl', 'O']",InChI=1/C8H4Cl2O2/c9-7(11)5-1-2-6(4-3-5)8(10)12/h1-4H,ClC(=O)c1ccc(cc1)C(Cl)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1002-27-3,"1,3,6-Heptatriene",C7H10,94.07825032239,"['C', 'H']","InChI=1/C7H10/c1-3-5-7-6-4-2/h3-5,7H,1-2,6H2/b7-5+",C=CC\C=C\C=C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002-28-4,3-Hexyn-1-ol,C6H10O,98.0731649419617,"['C', 'H', 'O']","InChI=1/C6H10O/c1-2-3-4-5-6-7/h7H,2,5-6H2,1H3",CCC#CCCO,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002-33-1,"1,3-Octadiene",C8H14,110.109550451346,"['C', 'H']","InChI=1/C8H14/c1-3-5-7-8-6-4-2/h3,5,7H,1,4,6,8H2,2H3/b7-5+",CCCC\C=C\C=C,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024-90-5,"Acetophenone, 4'-methoxy-3'-methyl-",C10H12O2,164.0837296260114,"['C', 'H', 'O']","InChI=1/C10H12O2/c1-7-6-9(8(2)11)4-5-10(7)12-3/h4-6H,1-3H3",COc1ccc(cc1C)C(C)=O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10024-97-2,Nitrous oxide,N2O,44.0010626284357,"['N', 'O']",InChI=1/N2O/c1-2-3,[N-]=[N+]=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-25-4,"Benzene, 1,4-dinitro-",C6H4N2O4,168.01710661610682,"['C', 'H', 'N', 'O']",InChI=1/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10025-78-2,Trichlorosilane,HCl3Si,133.8913096140034,"['H', 'Cl', 'Si']",InChI=1/Cl3Si/c1-4(2)3,Cl[Si](Cl)Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10026-04-7,"Silane, tetrachloro-",Cl4Si,167.8523372641344,"['Cl', 'Si']","InChI=1/Cl4Si/c1-5(2,3)4",Cl[Si](Cl)(Cl)Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002-69-3,"Decane, 1-chloro-",C10H21Cl,176.133178359389,"['C', 'H', 'Cl']","InChI=1/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3",CCCCCCCCCCCl,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-27-6,"Benzeneethanol, 4-nitro-",C8H9NO3,167.0582431532981,"['C', 'H', 'N', 'O']","InChI=1/C8H9NO3/c10-6-5-7-1-3-8(4-2-7)9(11)12/h1-4,10H,5-6H2",OCCc1ccc(cc1)[N+]([O-])=O,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10028-15-6,Ozone,O3,47.9847438587151,['O'],InChI=1/O3/c1-3-2,O=[O]=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002-84-2,Pentadecanoic acid,C15H30O2,242.22458020631345,"['C', 'H', 'O']","InChI=1/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)/f/h16H",CCCCCCCCCCCCCCC(O)=O,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100-28-7,"Benzene, 1-isocyanato-4-nitro-",C7H4N2O3,164.0221919965351,"['C', 'H', 'N', 'O']",InChI=1/C7H4N2O3/c10-5-8-6-1-3-7(4-2-6)9(11)12/h1-4H,[O-][N+](=O)c1ccc(cc1)N=C=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10029-07-9,"Trans-1,4-cyclohexane-bis(methylamine)",C8H18N2,142.146998589166,"['C', 'H', 'N']","InChI=1/C8H18N2/c9-5-7-1-2-8(6-10)4-3-7/h7-8H,1-6,9-10H2",NCC1CCC(CN)CC1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10029-09-1,"Cis-1,4-(cyclohexane bis(methylamine)",C8H18N2,142.146998589166,"['C', 'H', 'N']","InChI=1/C8H18N2/c9-5-7-1-2-8(6-10)4-3-7/h7-8H,1-6,9-10H2",NCC1CCC(CN)CC1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-29-8,1-Ethoxy-4-nitrobenzene,C8H9NO3,167.0582431532981,"['C', 'H', 'N', 'O']","InChI=1/C8H9NO3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3",CCOc1ccc(cc1)[N+]([O-])=O,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1003-04-9,Dihydro-3-(2H)-thiophenone,C4H6OS,102.0139359874197,"['C', 'H', 'O', 'S']",InChI=1/C4H6OS/c5-4-1-2-6-3-4/h1-3H2,O=C1CCSC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-09-4,"Thiophene, 2-bromo-",C4H3BrS,161.913883885131,"['C', 'H', 'Br', 'S']",InChI=1/C4H3BrS/c5-4-2-1-3-6-4/h1-3H,Brc1sccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-10-7,Dihydro-2-(3H)-thiophenone,C4H6OS,102.0139359874197,"['C', 'H', 'O', 'S']",InChI=1/C4H6OS/c5-4-2-1-3-6-4/h1-3H2,O=C1CCCS1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-17-4,"2,2-Dimethyltetrahydrofuran",C6H12O,100.0888150064397,"['C', 'H', 'O']","InChI=1/C6H12O/c1-6(2)4-3-5-7-6/h3-5H2,1-2H3",CC1(C)CCCO1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10031-82-0,"Benzaldehyde, 4-ethoxy-",C9H10O2,150.0680795615334,"['C', 'H', 'O']","InChI=1/C9H10O2/c1-2-11-9-5-3-8(7-10)4-6-9/h3-7H,2H2,1H3",CCOc1ccc(C=O)cc1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10031-87-5,"Acetic acid, 2-ethylbutyl ester",C8H16O2,144.1150297549674,"['C', 'H', 'O']","InChI=1/C8H16O2/c1-4-8(5-2)6-10-7(3)9/h8H,4-6H2,1-3H3",CCC(CC)COC(C)=O,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1003-19-6,"Cyclopropane, 1,1-diethyl-",C7H14,98.109550451346,"['C', 'H']","InChI=1/C7H14/c1-3-7(4-2)5-6-7/h3-6H2,1-2H3",CCC1(CC)CC1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-29-8,1H-Pyrrole-2-carboxaldehyde,C5H5NO,95.0371137851987,"['C', 'H', 'N', 'O']","InChI=1/C5H5NO/c7-4-5-2-1-3-6-5/h1-4,6H",O=Cc1[nH]ccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1003-31-2,2-Thiophenecarbonitrile,C5H3NS,108.998620275563,"['C', 'H', 'N', 'S']",InChI=1/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H,N#Cc1sccc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-38-9,"Furan, tetrahydro-2,5-dimethyl-",C6H12O,100.0888150064397,"['C', 'H', 'O']","InChI=1/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3",CC1CCC(C)O1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10034-81-8,Magnesium perchlorate,Cl2MgO8,221.8820640184536,"['Cl', 'Mg', 'O']","InChI=1/2ClHO4.Mg/c2*2-1(3,4)5;/h2*(H,2,3,4,5);/q;;+2/p-2/f2ClO4.Mg/q2*-1;m",[Mg++].[O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035-10-6,Hydrogen bromide,HBr,79.92616264623899,"['H', 'Br']",InChI=1/BrH/h1H/fBr.H/h1h;/q-1;+1,[H+].[Br-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-64-1,"Cyclohexane, ethylidene-",C8H14,110.109550451346,"['C', 'H']","InChI=1/C8H14/c1-2-8-6-4-3-5-7-8/h2H,3-7H2,1H3",C[CH]=[C]1CC[CH2]CC1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10036-64-3,"Alpha,d-glucopyranoside, 2-acetamido-2-deoxy-,",C8H15NO6,221.0899372054472,"['C', 'H', 'N', 'O']","InChI=1/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8+/m1/s1/f/h9H",CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100-36-7,"1,2-Ethanediamine, N,N-diethyl-",C6H16N2,116.131348524688,"['C', 'H', 'N']","InChI=1/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3",CCN(CC)CCN,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003-73-2,"Pyridine, 3-methyl-, 1-oxide",C6H7NO,109.0527638496767,"['C', 'H', 'N', 'O']","InChI=1/C6H8NO/c1-6-3-2-4-7(8)5-6/h2-5,7H,1H3",CC1=CC=C[NH++]([O-])[CH-]1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-37-8,"Ethanol, 2-(diethylamino)-",C6H15NO,117.1153641075887,"['C', 'H', 'N', 'O']","InChI=1/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",CCN(CC)CCO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-39-0,"Benzene, (bromomethyl)-",C7H7Br,169.97311283967298,"['C', 'H', 'Br']","InChI=1/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",BrCc1ccccc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-40-3,"Cyclohexene, 4-ethenyl-",C8H12,108.093900386868,"['C', 'H']","InChI=1/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2",C=CC1CCC=CC1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-41-4,Ethylbenzene,C8H10,106.07825032239,"['C', 'H']","InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",CCc1ccccc1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004-24-6,"Cyclohexanemethanol, 4-methylene-",C8H14O,126.1044650709177,"['C', 'H', 'O']","InChI=1/C8H14O/c1-7-2-4-8(6-9)5-3-7/h8-9H,1-6H2",OC[CH]1CC[C](=[CH2])CC1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-42-5,Styrene,C8H8,104.062600257912,"['C', 'H']","InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",C=Cc1ccccc1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10043-11-5,Boron nitride,BN,24.016010958532,"['B', 'N']",InChI=1/BN/c1-2,B#N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10043-35-3,B(OH)3,BH3O3,61.0211559095321,"['B', 'H', 'O']",InChI=1/BH3O3/c2-1(3)4/h2-4H,OB(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10043-52-4,Calcium dichloride,CaCl2,109.90029622796,"['Ca', 'Cl']",InChI=1/Ca.2ClH/h;2*1H/q+2;;/p-2/fCa.2Cl/h;2*1h/qm;2*-1,[Cl-].[Cl-].[Ca++],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-43-6,"Pyridine, 4-ethenyl-",C7H7N,105.057849230105,"['C', 'H', 'N']","InChI=1/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2",C=Cc1ccncc1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004-39-3,"2-Thiol-4,6-diamino-pyrimidine",C4H6N4S,142.031317385576,"['C', 'H', 'N', 'S']","InChI=1/C4H6N4S/c5-2-1-3(6)8-4(9)7-2/h1H,(H5,5,6,7,8,9)/f/h7H,5-6H2",NC1=CC(=NC(=S)N1)N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004-40-6,"Uracil, 6-amino-2-thio-",C4H5N3OS,143.0153329684767,"['C', 'H', 'N', 'O', 'S']","InChI=1/C4H5N3OS/c5-2-1-3(8)7-4(9)6-2/h1H,(H4,5,6,7,8,9)/f/h6-7H,5H2",NC1=CC(=O)NC(=S)N1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100444-41-5,p-Decyl-.alpha.-.alpha.-.alpha.-trifluoroacetophenone,C18H25F3O,314.1857499137643,"['C', 'H', 'F', 'O']","InChI=1/C18H25F3O/c1-2-3-4-5-6-7-8-9-10-15-11-13-16(14-12-15)17(22)18(19,20)21/h11-14H,2-10H2,1H3",CCCCCCCCCCc1ccc(cc1)C(=O)C(F)(F)F,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100-44-7,Benzyl chloride,C7H7Cl,126.023627908043,"['C', 'H', 'Cl']","InChI=1/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",ClCc1ccccc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10045-65-5,"1H-Imidazole-2-carboxaldehyde, 1-(phenylmethyl)-",C11H10N2O,186.07931295082568,"['C', 'H', 'N', 'O']","InChI=1/C11H10N2O/c14-9-11-12-6-7-13(11)8-10-4-2-1-3-5-10/h1-7,9H,8H2",O=Cc1nccn1Cc2ccccc2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100-45-8,4-Cyanocyclohexene,C7H9N,107.073499294583,"['C', 'H', 'N']","InChI=1/C7H9N/c8-6-7-4-2-1-3-5-7/h1-2,7H,3-5H2",N#CC1CCC=CC1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-46-9,Benzylamine,C7H9N,107.073499294583,"['C', 'H', 'N']","InChI=1/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",NCc1ccccc1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-47-0,Benzonitrile,C7H5N,103.042199165627,"['C', 'H', 'N']",InChI=1/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,N#Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-48-1,4-Pyridinecarbonitrile,C6H4N2,104.03744813782,"['C', 'H', 'N']",InChI=1/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H,N#Cc1ccncc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100-49-2,Cyclohexanemethanol,C7H14O,114.1044650709177,"['C', 'H', 'O']","InChI=1/C7H14O/c8-6-7-4-2-1-3-5-7/h7-8H,1-6H2",OCC1CCCCC1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
